episode,score,steps,total_reward,time,reason,efficiency,snake_length,grid_width,grid_height,grid_size,training_grid,is_training_grid,complexity_ratio,max_possible_score,agent
51,5,15,156.80000000000007,0.0,self_collision,0.3333333333333333,8,4,4,4x4,10x10,False,0.16,13,A*
52,1,5,-48.35,0.0,self_collision,0.2,4,4,4,4x4,10x10,False,0.16,13,A*
53,9,26,363.0499999999999,0.0,self_collision,0.34615384615384615,12,4,4,4x4,10x10,False,0.16,13,A*
54,1,5,-48.35,0.0,self_collision,0.2,4,4,4,4x4,10x10,False,0.16,13,A*
55,1,3,-48.85,0.0,self_collision,0.3333333333333333,4,4,4,4x4,10x10,False,0.16,13,A*
56,1,3,-48.85,0.0,self_collision,0.3333333333333333,4,4,4,4x4,10x10,False,0.16,13,A*
57,9,19,360.8,0.0,wall_collision,0.47368421052631576,12,4,4,4x4,10x10,False,0.16,13,A*
58,3,11,54.96666666666667,0.0,self_collision,0.2727272727272727,6,4,4,4x4,10x10,False,0.16,13,A*
59,7,21,259.9499999999999,0.0,wall_collision,0.3333333333333333,10,4,4,4x4,10x10,False,0.16,13,A*
60,7,23,260.3166666666666,0.0,self_collision,0.30434782608695654,10,4,4,4x4,10x10,False,0.16,13,A*
61,1,3,-48.85,0.0,self_collision,0.3333333333333333,4,4,4,4x4,10x10,False,0.16,13,A*
62,5,16,157.70000000000005,0.0,self_collision,0.3125,8,4,4,4x4,10x10,False,0.16,13,A*
63,8,17,310.3166666666666,0.0,self_collision,0.47058823529411764,11,4,4,4x4,10x10,False,0.16,13,A*
64,9,23,362.9833333333333,0.0,self_collision,0.391304347826087,12,4,4,4x4,10x10,False,0.16,13,A*
65,6,19,209.46666666666658,0.0,self_collision,0.3157894736842105,9,4,4,4x4,10x10,False,0.16,13,A*
66,1,6,-48.11666666666667,0.0,self_collision,0.16666666666666666,4,4,4,4x4,10x10,False,0.16,13,A*
67,1,4,-48.75,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
68,6,19,209.33333333333331,0.0,wall_collision,0.3157894736842105,9,4,4,4x4,10x10,False,0.16,13,A*
69,3,7,53.73333333333335,0.0,self_collision,0.42857142857142855,6,4,4,4x4,10x10,False,0.16,13,A*
70,7,34,263.1166666666666,0.0,wall_collision,0.20588235294117646,10,4,4,4x4,10x10,False,0.16,13,A*
71,1,4,-48.61666666666667,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
72,1,4,-48.36666666666667,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
73,9,25,363.1499999999999,0.0,self_collision,0.36,12,4,4,4x4,10x10,False,0.16,13,A*
74,5,18,158.20000000000005,0.0,self_collision,0.2777777777777778,8,4,4,4x4,10x10,False,0.16,13,A*
75,1,6,-47.983333333333334,0.0,self_collision,0.16666666666666666,4,4,4,4x4,10x10,False,0.16,13,A*
76,5,14,156.7,0.0,wall_collision,0.35714285714285715,8,4,4,4x4,10x10,False,0.16,13,A*
77,7,14,258.15,0.015364408493041992,self_collision,0.5,10,4,4,4x4,10x10,False,0.16,13,A*
78,5,16,158.25,0.0,self_collision,0.3125,8,4,4,4x4,10x10,False,0.16,13,A*
79,6,16,207.8,0.0007648468017578125,self_collision,0.375,9,4,4,4x4,10x10,False,0.16,13,A*
80,3,15,54.55000000000001,0.00048542022705078125,self_collision,0.2,6,4,4,4x4,10x10,False,0.16,13,A*
81,1,6,-47.733333333333334,0.0,self_collision,0.16666666666666666,4,4,4,4x4,10x10,False,0.16,13,A*
82,12,28,516.1666666666666,0.0,self_collision,0.42857142857142855,15,4,4,4x4,10x10,False,0.16,13,A*
83,1,6,-48.11666666666667,0.0,self_collision,0.16666666666666666,4,4,4,4x4,10x10,False,0.16,13,A*
84,3,15,55.60000000000002,0.0,self_collision,0.2,6,4,4,4x4,10x10,False,0.16,13,A*
85,3,13,55.599999999999994,0.0,self_collision,0.23076923076923078,6,4,4,4x4,10x10,False,0.16,13,A*
86,5,13,156.66666666666669,0.0,self_collision,0.38461538461538464,8,4,4,4x4,10x10,False,0.16,13,A*
87,9,23,362.3166666666666,0.0,self_collision,0.391304347826087,12,4,4,4x4,10x10,False,0.16,13,A*
88,1,4,-48.36666666666667,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
89,1,4,-48.86666666666667,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
90,1,6,-47.983333333333334,0.0,self_collision,0.16666666666666666,4,4,4,4x4,10x10,False,0.16,13,A*
91,1,4,-48.61666666666667,0.0,self_collision,0.25,4,4,4,4x4,10x10,False,0.16,13,A*
92,3,16,55.78333333333333,0.0,self_collision,0.1875,6,4,4,4x4,10x10,False,0.16,13,A*
93,11,32,466.41666666666663,0.0,self_collision,0.34375,14,4,4,4x4,10x10,False,0.16,13,A*
94,6,22,209.7333333333333,0.0,self_collision,0.2727272727272727,9,4,4,4x4,10x10,False,0.16,13,A*
95,9,18,362.0333333333333,0.0,self_collision,0.5,12,4,4,4x4,10x10,False,0.16,13,A*
