timestamp,grid_size,grid_width,grid_height,max_possible_score,agent,agent_category,episode,points_scored,game_won,game_won_percentage,moves_made,total_reward,efficiency,snake_length,survival_time,termination_reason,score_percentage,board_coverage,moves_per_food,complexity_ratio,is_training_grid,successful_episode,high_performance
20251015_171004,4x4,4,4,13,A*,Simple_Agent,71,1,0,0,4,-48.61666666666667,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,72,1,0,0,4,-48.36666666666667,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,73,9,0,0,25,363.1499999999999,0.36,12,0.0,self_collision,69.23076923076923,75.0,2.7777777777777777,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,74,5,0,0,18,158.20000000000005,0.2777777777777778,8,0.0,self_collision,38.46153846153847,50.0,3.6,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,75,1,0,0,6,-47.983333333333334,0.16666666666666666,4,0.0,self_collision,7.6923076923076925,25.0,6.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,76,5,0,0,14,156.7,0.35714285714285715,8,0.0,wall_collision,38.46153846153847,50.0,2.8,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,77,7,0,0,14,258.15,0.5,10,0.015364408493041992,self_collision,53.84615384615385,62.5,2.0,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,78,5,0,0,16,158.25,0.3125,8,0.0,self_collision,38.46153846153847,50.0,3.2,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,79,6,0,0,16,207.8,0.375,9,0.0007648468017578125,self_collision,46.15384615384615,56.25,2.6666666666666665,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,80,3,0,0,15,54.55000000000001,0.2,6,0.00048542022705078125,self_collision,23.076923076923077,37.5,5.0,0.16,False,1,0
